,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Reconciled Depreciation,"1,188,000","12,547,000","2,271,000","2,577,000","29,218,000","1,897,000","4,160,000","2,938,000","18,998,000","2,296,000","6,059,000","10,826,000","7,009,000","1,365,000","1,617,900","1,593,000","3,652,000","12,796,000",-,"6,010,000","2,824,000","763,000","3,783,000","2,720,000","16,682,000","656,000","10,987,000","2,038,000"
Net Income from Continuing Operation Net Minority Interest,"6,759,000","55,256,000","-636,000","6,093,000","2,924,000","11,621,000","10,383,000","-1,804,000","14,340,000","11,242,000","9,435,000","21,048,000","15,119,000","8,920,000","6,025,400","4,570,000","9,843,000","44,281,000","2,539,000","16,269,000","3,897,000","2,622,000","5,537,000","13,839,000","19,265,000","12,080,000","14,881,000","3,982,000"
Total Unusual Items Excluding Goodwill,-,,"687,000","200,000",,"-332,000","3,174,000","-4,282,000",,0,"207,000","1,146,000","-266,000","-447,000","78,100","-48,000","-655,000",-,,"3,951,000","-8,345,000",,,"1,886,000","-3,696,000","16,000",0,
Total Unusual Items,-,,"687,000","200,000",,"-332,000","3,174,000","-4,282,000",,0,"207,000","1,146,000","-266,000","-447,000","78,100","-48,000","-655,000",-,,"3,951,000","-8,345,000",,,"1,886,000","-3,696,000","16,000",0,
Tax Rate for Calcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"185,490","44,800",0,"-67,064","688,758","-1,156,140",0,0,"14,904","143,250","-33,782","-74,649","19,447","-9,504","-96,285",0,0,"309,251","-2,895,715",0,0,"392,288","-478,807","3,008",0,0
Operating Cash Flow,"13,632,000","69,391,000","-2,446,000","6,912,000","27,314,000","15,831,000","5,984,000","5,930,000","29,716,000","13,723,000","14,770,000","33,145,000","23,416,000","10,471,000","8,122,100","7,070,000","13,440,000","60,675,000",,"12,588,000","15,242,000","5,205,000","8,883,000","18,463,000","35,746,000","12,784,000","25,255,000","5,594,000"
Investing Cash Flow,"-16,707,000","45,896,000","-1,530,000","-1,928,000","-11,458,000","14,837,000","-4,118,000","-2,192,000","-23,084,000","-2,653,000","-26,936,000","-14,405,000","-6,194,000","-3,976,000","-3,071,100","-6,444,000","-2,629,000","-12,223,000",,"-3,945,000","-3,490,000","-2,902,000","-3,092,000","-12,699,000","-17,581,000","-591,000","-9,128,000","-2,307,000"
Financing Cash Flow,"-519,000","-90,976,000","5,739,000","-4,538,000","-19,758,000","-27,889,000","-1,090,000","-4,095,000","-6,618,000","-10,834,000","9,042,000","-17,565,000","-18,015,000","-9,004,000","-4,994,800","-1,124,000","-8,861,000","-46,031,000",,"-8,485,000","-9,994,000","-2,187,000","-4,564,000","-5,625,000","-18,164,000","-12,061,000","-14,299,000","-3,047,000"
End Cash Position,"24,446,000","50,224,000","9,485,000","8,292,000","6,911,000","11,772,000","5,455,000","2,367,000","3,089,000","2,133,000","8,314,000","4,194,000","17,305,000","6,737,000","898,500","2,353,000","9,934,000","13,576,000",,"1,350,000","4,239,000","494,000","7,378,000","10,985,000","3,917,000","10,832,000","9,515,000","1,207,000"
Capital Expenditure,"-1,645,000","-10,495,000","-1,961,000","-2,669,000","-14,116,000","-909,000","-4,876,000","-1,961,000","-24,361,000","-2,678,000","-2,907,000","-16,213,000","-3,498,000","-2,054,000","-2,393,700","-1,699,000","-3,473,000","-15,441,000",,"-2,594,000","-3,347,000",,"-2,607,000","-2,071,000","-18,837,000","-756,000","-10,705,000","-1,702,000"
Issuance of Capital Stock,"86,000","781,000",,"238,000",-,"640,000",,"93,000",-,"280,000",-,,,"1,012,000",,"547,000",,"1,343,000",,,,,-,"1,037,000",-,,,
Issuance of Debt,"12,706,000","6,963,000","25,389,000","9,841,000","2,586,000","2,250,000","38,240,000","2,594,000","12,706,000","3,420,000","31,825,000","3,392,000","42,000","23,009,000","4,499,000","6,281,000","4,958,000",-,,"21,397,000","2,367,000","492,000","88,000","5,744,000","18,655,000",0,"5,492,000","12,433,000"
Repayment of Debt,"-13,850,000","-8,805,000","-12,171,000","-8,297,000","-10,432,000","-6,780,000","-38,881,000","-5,561,000","-4,044,000","-1,070,000","-12,944,000","-2,627,000","-2,923,000","-24,850,000","-2,061,900","-2,716,000",0,"-5,518,000",,"-12,633,000","-969,000","-500,000","-2,830,000","-1,750,000","-23,886,000",0,"-1,907,000","-10,461,000"
Repurchase of Capital Stock,"-4,685,000","-66,897,000","-2,651,000","-4,047,000","-4,039,000","-21,579,000",0,"-500,000","-594,000","-6,965,000","-1,633,000","-13,576,000","-6,746,000","-1,103,000","-4,976,200","-1,407,000","-4,780,000","-22,968,000",,"-8,865,000","-5,003,000","-1,548,000","-151,000","-5,500,000",-,"-8,607,000","-5,717,000","-4,160,000"
Free Cash Flow,"11,987,000","58,896,000","-4,407,000","4,243,000","13,198,000","14,922,000","1,108,000","3,969,000","5,355,000","11,045,000","11,863,000","16,932,000","19,918,000","8,417,000","5,728,400","5,371,000","9,967,000","45,234,000",,"9,994,000","11,895,000","5,205,000","6,276,000","16,392,000","16,909,000","12,028,000","14,550,000","3,892,000"
Working Capital,,"14,473,000","6,240,000","10,385,000","6,850,000","34,802,000","-1,035,000","11,508,000","-9,165,000","1,813,000","10,919,000","12,161,000","14,803,000","1,411,000","1,079,700","6,465,000","3,669,000","106,132,000","8,659,000","18,068,000","-4,917,000",,"4,135,000","-14,517,000","-3,294,000","6,911,000","-15,580,000","-3,821,000"
Cost of Revenue,,"161,782,000","72,093,000","37,384,000","109,331,000","19,238,000","42,018,000","36,657,000","199,625,000","72,653,000","40,659,000","29,825,000","27,556,000","14,619,000","9,961,200","17,136,000","14,112,000","46,078,000","21,162,000","10,219,000","34,768,000",,"57,065,000","184,557,000","54,726,000","4,165,000","394,605,000","106,790,000"
Gross Profit,,"98,392,000","4,466,000","16,416,000","30,534,000","32,666,000","27,552,000","6,294,000","55,958,000","37,572,000","36,488,000","42,140,000","54,503,000","22,647,000","11,115,300","15,000,000","32,728,000","96,937,000","16,241,000","41,531,000","32,916,000",,"19,981,000","55,712,000","77,142,000","18,812,000","129,359,000","30,076,000"
Operating Expense,,"34,462,000","7,128,000","8,126,000","30,434,000","18,125,000","15,701,000","2,774,000","43,192,000","21,729,000","25,857,000","19,712,000","34,423,000","12,114,000","2,229,400","8,940,000","20,487,000","43,978,000","13,126,000","27,610,000","19,084,000",,"11,015,000","37,913,000","46,672,000","3,411,000","108,791,000","25,242,000"
Operating Income,,"63,930,000","-2,662,000","8,290,000","100,000","14,541,000","11,851,000","3,520,000","12,766,000","15,843,000","10,631,000","22,428,000","20,080,000","10,533,000","8,885,900","6,060,000","12,241,000","52,959,000","3,115,000","13,921,000","13,832,000",,"8,966,000","17,799,000","30,470,000","15,401,000","20,568,000","4,834,000"
Net Non Operating Interest Income Expense,,"1,385,000","-722,000","-421,000","-798,000","449,000","-978,000","-852,000","-830,000","-1,128,000","-995,000","-6,000","39,000","-383,000","-1,084,900","-368,000","-619,000",-,"-89,000","-1,348,000","-289,000",,"-1,611,000","-1,704,000","-4,609,000","-533,000","-2,410,000","-704,000"
Other Income Expense,,"422,000","1,125,000","-57,000","6,234,000","-419,000","3,071,000","-3,915,000","8,120,000",-,"529,000","1,636,000","-2,791,000","636,000","216,900","20,000","-158,000","77,000","-139,000","5,108,000","-7,474,000",,"888,000","1,886,000","-3,128,000","16,000","1,958,000","397,000"
Total Operating Income as Reported,,"63,930,000","-1,975,000","8,290,000",,"14,219,000",,,,"15,843,000",,"22,035,000",,"10,086,000","9,069,800","6,174,000",,"52,959,000",,,"5,487,000",,"8,966,000","19,685,000","30,378,000","15,001,000","20,568,000","4,998,000"
Total Expenses,,"196,244,000","79,221,000","45,510,000","139,765,000","37,363,000","57,719,000","39,431,000","242,817,000","94,382,000","66,516,000","49,537,000","61,979,000","26,733,000","12,190,600","26,076,000","34,599,000","90,056,000","34,288,000","37,829,000","53,852,000","28,443,000","68,080,000","222,470,000","101,398,000","7,576,000","503,396,000","132,032,000"
Interest Income,,"4,961,000",,,,"1,308,000","268,000","81,000",,"73,000","349,000","483,000","357,000","563,000","37,000","80,000","274,000",,,"226,000","220,000",,"162,000",,"121,000",,"189,000",
Interest Expense,,"3,576,000","722,000","421,000","798,000","859,000","1,246,000","933,000","830,000","1,201,000","1,344,000","489,000","318,000","946,000","1,121,900","448,000","893,000",-,,"1,574,000","509,000","344,000","1,773,000","1,704,000","4,730,000","533,000","2,599,000","704,000"
Net Interest Income,,"1,385,000","-722,000","-421,000","-798,000","449,000","-978,000","-852,000","-830,000","-1,128,000","-995,000","-6,000","39,000","-383,000","-1,084,900","-368,000","-619,000",-,"-89,000","-1,348,000","-289,000",,"-1,611,000","-1,704,000","-4,609,000","-533,000","-2,410,000","-704,000"
EBIT,,"69,313,000","-1,537,000","8,233,000","6,334,000","15,430,000","15,190,000","-314,000","20,886,000","15,916,000","11,510,000","24,547,000","17,646,000","11,732,000","9,140,000","6,160,000","12,357,000","52,959,000","3,115,000","19,256,000","6,578,000","3,482,000","10,016,000","19,685,000","27,463,000","15,401,000","22,715,000","5,231,000"
EBITDA,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
Reconciled Cost of Revenue,,"161,782,000","72,093,000","37,384,000","109,331,000","17,491,000","42,018,000","34,138,000","199,625,000","72,346,000","35,362,000","19,199,000","27,556,000","14,619,000","9,961,200","17,136,000","14,112,000","46,078,000","21,162,000","8,819,000","34,768,000",,"57,065,000","184,557,000","54,726,000","4,165,000","394,605,000","106,790,000"
Normalized EBITDA,,"81,860,000","47,000","10,610,000","35,552,000","17,659,000","16,176,000","6,906,000","39,884,000","18,212,000","17,362,000","34,227,000","24,921,000","13,544,000","10,679,800","7,801,000","16,664,000","65,755,000","3,115,000","21,315,000","17,747,000",,"13,799,000","20,519,000","47,841,000","16,041,000","33,702,000","7,269,000"
Income Tax Paid Supplemental Data,,"15,263,000",,,"4,817,000","2,986,000","9,259,000",-,,"3,220,000","2,091,000","2,110,000","4,191,000",,"1,589,700","1,198,000",,,,"3,664,000","3,064,000","428,000","1,768,000","3,542,000",,"2,648,000","3,616,000",
Interest Paid Supplemental Data,,"3,423,000",,,"810,000","839,000","1,142,000",-,,"1,112,000","1,685,000","469,000","995,000",,"1,066,500","370,000",,,,"1,587,000","497,000","338,000","1,801,000","1,627,000",,"537,000","2,464,000",
Earnings from Equity Interest Net of Tax,,,,"28,000",,,,,,,,,,,,,,,,,,,,,,,,"23,000"
Cash Flow from Discontinued Operation,,,,,,,"622,000",,,,,,,,,,,,,,,,,,,,,
Average Dilution Earnings,,,,,,,,,,,0,,,,,,,,,"1,000",-,,,,,-,,
Rent Expense Supplemental,,,,,,,,,,,,,,,"4,276,500",,,,,,,,,,,,,
Preferred Stock Equity,,,,,,,,,,,,,,,,,,,,"19,000","967,000",,,,,"5,470,000",,
