date,1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD)
2020-04-03,48035.307744,6793.86,49832.1792,7048.0,46679.48784,6602.1,47612.78064,6734.1,104080.276939,104080.276939
2020-04-02,46971.212544,6643.36,50892.7392,7198.0,46318.1904,6551.0,48036.933936,6794.09,149299.906871,149299.906871
2020-04-01,45336.394656,6412.14,47229.847776,6679.94,43483.737744,6150.11,46968.101568,6642.92,97500.7524,97500.7524
2020-03-31,45211.31928,6394.45,46121.845392,6523.23,44694.82656,6321.4,45324.374976,6410.44,72337.595259,72337.595259
2020-03-30,41577.4872,5880.5,46657.5696,6599.0,41416.706304,5857.76,45210.824352,6394.38,118889.549992,118889.549992
2020-03-29,44095.61016,6236.65,44303.1264,6266.0,41478.925824,5866.56,41583.991968,5881.42,63311.627714,63311.627714
2020-03-28,44961.451344,6359.11,44967.744,6360.0,42592.0896,6024.0,44095.61016,6236.65,93159.693429,93159.693429
2020-03-27,47635.193808,6737.27,48379.848336,6842.59,44267.7744,6261.0,44961.451344,6359.11,82914.968354,82914.968354
2020-03-26,47212.030368,6677.42,47937.312,6780.0,46028.304,6510.0,47635.830144,6737.36,83026.555211,83026.555211
2020-03-25,47687.656176,6744.69,49195.560384,6957.96,45604.08,6450.0,47212.101072,6677.43,132155.734989,132155.734989
2020-03-24,45711.9036,6465.25,48312.0432,6833.0,45047.851632,6371.33,47687.868288,6744.72,151138.009878,151138.009878
2020-03-23,41121.79992,5816.05,46664.64,6600.0,40216.4352,5688.0,45726.468624,6467.31,164674.215785,164674.215785
2020-03-22,43744.847616,6187.04,45306.204048,6407.87,40541.744304,5734.01,41122.789776,5816.19,119115.990527,119115.990527
2020-03-21,43868.791728,6204.57,45653.431392,6456.98,41432.685408,5860.02,43744.423392,6186.98,128913.668363,128913.668363
2020-03-20,43568.15832,6162.05,48785.76,6900.0,40089.168,5670.0,43895.588544,6208.36,219298.329514,219298.329514
2020-03-19,38132.505504,5393.26,45250.56,6400.0,37137.488112,5252.53,43570.420848,6162.37,199020.873439,199020.873439
2020-03-18,37562.489856,5312.64,38435.896368,5436.17,35418.249648,5009.37,38130.950016,5393.04,137127.634894,137127.634894
2020-03-17,35556.051744,5028.86,39063.96,5525.0,34796.62008,4921.45,37562.489856,5312.64,150089.926318,150089.926318
2020-03-16,37899.677232,5360.33,37935.665568,5365.42,31407.565248,4442.12,35556.829488,5028.97,227276.92276,227276.92276
2020-03-15,36571.502592,5172.48,41998.176,5940.0,36010.25424,5093.1,37906.53552,5361.3,139916.146534,139916.146534
2020-03-14,39424.90392,5576.05,39880.732608,5640.52,35741.791152,5055.13,36568.533024,5172.06,136910.135974,136910.135974
2020-03-13,33937.990704,4800.01,42104.232,5955.0,26741.171952,3782.13,39442.93344,5578.6,402201.673764,402201.673764
2020-03-12,56100.654432,7934.58,56324.008368,7966.17,31180.464,4410.0,33937.92,4800.0,261505.608653,261505.608653
2020-03-11,55817.767728,7894.57,56421.792,7980.0,53664.336,7590.0,56100.230208,7934.52,79942.411172,79942.411172
2020-03-10,56067.352848,7929.87,57616.6896,8149.0,54640.121904,7728.01,55817.697024,7894.56,86783.443875,86783.443875
2020-03-09,56808.967104,8034.76,57830.993424,8179.31,53961.363504,7632.01,56067.352848,7929.87,116968.863268,116968.863268
2020-03-08,62822.2716,8885.25,62832.947904,8886.76,56563.2,8000.0,56798.715024,8033.31,77537.315166,77537.315166
2020-03-07,64559.044656,9130.89,64962.8352,9188.0,62466.984,8835.0,62832.240864,8886.66,45422.204525,45422.204525
2020-03-06,64019.926656,9054.64,64835.568,9170.0,63531.0792,8985.5,64566.044352,9131.88,43782.948044,43782.948044
2020-03-05,61872.999696,8750.99,64760.763168,9159.42,61841.536416,8746.54,64020.209472,9054.68,58201.866355,58201.866355
2020-03-04,61937.198928,8760.07,62560.949616,8848.29,61229.664,8660.0,61872.151248,8750.87,38696.482578,38696.482578
2020-03-03,63005.607072,8911.18,63065.49336,8919.65,61166.0304,8651.0,61937.198928,8760.07,55154.997282,55154.997282
2020-03-02,60312.63312,8530.3,63391.4388,8965.75,60084.2592,8498.0,63034.312896,8915.24,60401.31773,60401.31773
2020-03-01,60265.332144,8523.61,61866.0,8750.0,59469.1344,8411.0,60323.804352,8531.88,43892.201779,43892.201779
2020-02-29,61447.43232,8690.8,62148.816,8790.0,60264.90792,8523.55,60265.332144,8523.61,36748.183035,36748.183035
2020-02-28,62383.9068,8823.25,62926.56,8900.0,59709.528,8445.0,61462.350864,8692.91,71155.208977,71155.208977
2020-02-27,62120.5344,8786.0,63434.002608,8971.77,60317.5824,8531.0,62383.623984,8823.21,72483.578762,72483.578762
2020-02-26,65871.240192,9316.48,66302.251776,9377.44,61043.217552,8633.63,62115.2316,8785.25,92130.345482,92130.345482
2020-02-25,68268.388608,9655.52,68406.12,9675.0,65401.2,9250.0,65866.715136,9315.84,54379.344552,54379.344552
2020-02-24,70254.32256,9936.4,70633.296,9990.0,66981.858624,9473.56,68272.701552,9656.13,55796.59612,55796.59612
2020-02-23,68235.36984,9650.85,70633.296,9990.0,68194.008,9645.0,70254.32256,9936.4,37702.089843,37702.089843
2020-02-22,68420.61432,9677.05,68647.715568,9709.17,67593.165408,9560.02,68235.440544,9650.86,24636.757623,24636.757623
2020-02-21,67856.113584,9597.21,68975.357904,9755.51,67523.804784,9550.21,68420.61432,9677.05,42181.554524,42181.554524
2020-02-20,67838.01336,9594.65,68575.8096,9699.0,66461.76,9400.0,67850.527968,9596.42,60152.342914,60152.342914
2020-02-19,71869.060512,10164.78,72471.6,10250.0,66108.24,9350.0,67831.932816,9593.79,55162.586895,55162.586895
2020-02-18,68625.3024,9706.0,72471.6,10250.0,67706.221104,9576.01,71868.565584,10164.71,70604.124019,70604.124019
2020-02-17,70072.61328,9910.7,70450.596864,9964.16,66834.157968,9452.67,68625.3024,9706.0,70261.011901,70261.011901
2020-02-16,70028.493984,9904.46,71057.52,10050.0,68145.363648,9638.12,70119.065808,9917.27,60023.999537,60023.999537
2020-02-15,73138.762944,10344.36,73355.4,10375.0,69296.9904,9801.0,70030.332288,9904.72,57657.202947,57657.202947
2020-02-14,72314.495712,10227.78,73401.781824,10381.56,71491.430448,10111.37,73138.762944,10344.36,47038.480173,47038.480173
2020-02-13,73004.213232,10325.33,74239.2,10500.0,71269.632,10080.0,72327.575952,10229.63,79344.358759,79344.358759
2020-02-12,72281.264832,10223.08,73885.68,10450.0,72281.264832,10223.08,73012.202784,10326.46,61008.06393,61008.06393
2020-02-11,69655.742496,9851.74,72991.910736,10323.59,68582.88,9700.0,72281.264832,10223.08,62422.395224,62422.395224
2020-02-10,71776.721088,10151.72,72033.2352,10188.0,68978.8224,9756.0,69656.378832,9851.83,59573.084619,59573.084619
2020-02-09,69961.890816,9895.04,71877.6864,10166.0,69860.8548,9880.75,71776.9332,10151.75,43408.475616,43408.475616
2020-02-08,69387.986448,9813.87,70279.776,9940.0,68350.334544,9667.11,69961.96152,9895.05,43600.843666,43600.843666
2020-02-07,69091.9488,9772.0,69890.904,9885.0,68794.992,9730.0,69386.996592,9813.73,43966.114632,43966.114632
