date,open,high,low,close,volume
2020-07-28 10:21:00,202.735,202.81,202.61,202.65,69782.0
2020-07-28 10:20:00,202.74,202.85,202.59,202.76,51647.0
2020-07-28 10:19:00,202.724,202.795,202.6,202.73,34564.0
2020-07-28 10:18:00,202.83,202.86,202.59,202.7,48873.0
2020-07-28 10:17:00,202.82,203.03,202.82,202.84,84018.0
2020-07-28 10:16:00,202.72,202.85,202.62,202.82,48041.0
2020-07-28 10:15:00,202.55,202.77,202.5404,202.7001,55928.0
2020-07-28 10:14:00,202.535,202.6,202.28,202.53,95236.0
2020-07-28 10:13:00,202.63,202.8,202.46,202.54,86413.0
2020-07-28 10:12:00,202.71,202.79,202.53,202.6174,77040.0
2020-07-28 10:11:00,202.81,202.94,202.71,202.71,72296.0
2020-07-28 10:10:00,202.8543,202.95,202.7666,202.7965,40192.0
2020-07-28 10:09:00,202.9,203.07,202.86,202.86,53802.0
2020-07-28 10:08:00,202.86,202.89,202.7,202.8701,36902.0
2020-07-28 10:07:00,202.79,202.9488,202.6639,202.897,35263.0
2020-07-28 10:06:00,202.89,202.91,202.6,202.8,51985.0
2020-07-28 10:05:00,202.76,203.01,202.76,202.87,69740.0
2020-07-28 10:04:00,202.67,202.8373,202.6265,202.73,37547.0
2020-07-28 10:03:00,202.6,202.74,202.395,202.62,75742.0
2020-07-28 10:02:00,202.825,202.85,202.58,202.59,162914.0
2020-07-28 10:01:00,202.88,202.92,202.67,202.82,80142.0
2020-07-28 10:00:00,202.8025,202.93,202.7,202.84,68012.0
2020-07-28 09:59:00,202.7901,202.94,202.68,202.8086,69905.0
2020-07-28 09:58:00,202.6299,202.8,202.43,202.8,73626.0
2020-07-28 09:57:00,202.62,202.82,202.53,202.6157,54720.0
2020-07-28 09:56:00,202.5627,202.8,202.45,202.605,97188.0
2020-07-28 09:55:00,202.6799,202.6799,202.34,202.555,76865.0
2020-07-28 09:54:00,202.75,202.87,202.645,202.68,57253.0
2020-07-28 09:53:00,202.5,202.78,202.45,202.78,72130.0
2020-07-28 09:52:00,202.67,202.8309,202.48,202.51,77036.0
2020-07-28 09:51:00,202.8743,202.8743,202.54,202.685,92129.0
2020-07-28 09:50:00,203.18,203.2,202.86,202.885,56651.0
2020-07-28 09:49:00,203.146,203.24,202.954,203.1801,42401.0
2020-07-28 09:48:00,203.24,203.24,203.07,203.1249,34744.0
2020-07-28 09:47:00,203.17,203.33,203.07,203.26,42141.0
2020-07-28 09:46:00,203.19,203.52,203.09,203.19,1025415.0
2020-07-28 09:45:00,203.135,203.2,202.93,203.19,45370.0
2020-07-28 09:44:00,203.08,203.14,202.91,203.14,36870.0
2020-07-28 09:43:00,203.09,203.22,202.93,203.06,40215.0
2020-07-28 09:42:00,203.13,203.23,203.0,203.095,54380.0
2020-07-28 09:41:00,203.12,203.25,202.95,203.14,53386.0
2020-07-28 09:40:00,202.76,203.23,202.76,203.145,68435.0
2020-07-28 09:39:00,202.93,202.95,202.56,202.78,102823.0
2020-07-28 09:38:00,203.19,203.2473,202.81,202.935,76812.0
2020-07-28 09:37:00,203.21,203.3,202.89,203.19,75975.0
2020-07-28 09:36:00,203.27,203.58,203.082,203.22,71646.0
2020-07-28 09:35:00,202.895,203.41,202.88,203.27,64051.0
2020-07-28 09:34:00,203.02,203.1099,202.72,202.9,94496.0
2020-07-28 09:33:00,203.14,203.2,202.62,202.99,144429.0
2020-07-28 09:32:00,203.74,203.88,203.04,203.18,132781.0
2020-07-28 09:31:00,203.61,204.0,203.41,203.7391,543172.0
2020-07-28 09:30:00,203.56,203.6,203.55,203.6,13908.0
2020-07-28 09:29:00,202.98,203.6,202.97,203.4,22815.0
2020-07-28 09:28:00,202.8,202.8118,202.8,202.8118,800.0
2020-07-28 09:27:00,202.8844,202.98,202.85,202.98,2436.0
2020-07-28 09:26:00,202.91,202.98,202.91,202.98,1029.0
2020-07-28 09:25:00,203.0,203.0,202.93,202.93,843.0
2020-07-28 09:24:00,202.9542,202.9542,202.9382,202.9382,612.0
2020-07-28 09:23:00,203.0,203.02,203.0,203.02,2624.0
2020-07-28 09:22:00,203.0,203.05,203.0,203.0,2906.0
