episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
49,6,-0.10470622342151355,0.10792935837546032,-83.45331452295457,6506.241292476654,19396.338246504467,16736.021293799084,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
50,5,-0.010415275897355514,-0.12804149313900842,-100.33153016811774,4707.556988239288,15468.084375,13930.685721588135,5.0,0.0,5.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
51,2,-0.08662671977018399,0.08662671977018399,-250.87889904340062,6489.990966796875,15474.3740234375,23314.05908203125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
52,7,-71.55742286733349,0.13184411524773973,0.12993208278849466,3995.1419982910156,17764.30594308036,8986.005630493164,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
53,5,-100.04578807779393,0.1292953462715356,-0.02466937485155522,10402.91930923462,12231.386540985108,13897.66826171875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
54,17,-0.05206394185739766,0.06568856762110659,-29.428501305874423,5095.001177956076,12993.117001028622,13490.970373265884,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
55,2,-0.08466703010416624,-250.86044446213742,-0.08699909628158872,4003.430877685547,18789.921875,18606.087890625,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
56,5,-0.08919821150100259,0.08919821150100259,-100.25928313876389,1681.1907958984375,12056.560498046874,13457.75458984375,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
57,5,-100.09613366574953,0.12428762321845191,0.0961336657495393,4782.76015625,17924.9896484375,10835.439343261718,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
58,1,-0.2001905554954734,-500.8048994777248,-500.794174950444,7561.15673828125,7672.80908203125,43846.875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
