episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
44,15,-33.49764381247566,0.11003937668418086,14459.449468485514,19633.728059895835,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
45,6,83.28563458773364,-166.8243452348864,11596.107020775476,16712.128675937653,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
46,5,-100.12208474910135,0.1220847491013561,9283.07430419922,18441.840343666077,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
47,5,-100.09109939602399,0.03252356923783861,26216.96708984375,15340.1712890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
48,13,-38.55856954619769,-0.012446254520819223,19979.17108623798,18752.646421432495,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
49,9,-0.15029159566622416,-55.7438375629022,20242.895399305555,16801.072374131945,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
50,8,-0.15273654683366092,-62.61824786032371,16989.8355550766,17737.053818702698,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
51,18,-0.10059472840125311,-27.794087674590457,15301.435167100695,18810.31553310818,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
52,3,-166.82009408285876,0.15342741619208453,9669.138671875,4996.772928873698,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
53,8,-62.59565873817383,-0.02920197348633676,11942.915544509888,16904.356365203857,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
54,5,-0.17168391240239333,-100.20968714240163,17263.54580078125,19863.705078125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
55,3,-0.16940093543069387,-167.02959245691667,17208.35791015625,19074.241861979168,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
56,6,-0.10889601255140081,-83.56418031028893,14537.643727620443,16401.244857788086,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
57,2,-0.08762394314629998,-250.83285221026412,17426.06884765625,17236.353271484375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
58,5,-0.13721903588092949,-100.31865101595773,12971.8689453125,12661.25810546875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
59,7,-71.5717243697628,0.14315294119137167,17096.877859933036,17910.29178292411,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
60,2,-250.11107370749093,0.11107370749094075,7561.117919921875,23759.4970703125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
61,8,-0.09434135701937686,-62.58657358044389,16417.193069458008,15897.832641601562,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
62,7,-71.5290593143933,0.100487885821864,15499.93178013393,17105.418579101562,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
63,7,-0.12740826565799232,-71.48719455734482,11034.132707868304,18516.155412946428,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
64,3,-0.2289863559459536,-166.79942661006376,7906.993876139323,11466.783528645834,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
65,5,-0.19531708520481697,-100.07415314936252,17554.0234375,16700.826171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
