episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
55,3,-0.15775303799222465,-167.56866266451522,5210.0087890625,11463.182454427084,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
56,2,-0.12622437885590543,-250.38085206925803,17540.84814453125,4025.3248596191406,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
57,13,-38.575704341892255,-38.50635247978011,9487.701669546273,14882.575411283053,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
58,8,-62.58354088354697,0.0835408835469687,14270.663795471191,12225.070350646973,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
59,2,-250.19364972577586,0.1936497257758315,20672.66552734375,10307.7373046875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
60,6,-0.15106650335023392,-83.3907065983817,16269.421468098959,13346.163167317709,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
61,13,-0.10346071429934268,-38.443804490692116,14926.667499248799,14763.261915940504,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
62,7,-0.12060121233942674,-71.45128028624545,14657.006417410714,13658.59508405413,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
63,1,-0.22454294737368385,-500.9532163751437,20698.6640625,30333.962890625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
64,17,-0.10203312374721951,-29.562755641403268,16316.435776654413,15200.99284811581,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
65,4,-0.10806856034898524,-125.32829457987435,18649.769287109375,26353.5517578125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
66,4,-0.17385394961045186,-125.33095034645255,16139.667785644531,18704.59765625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
67,2,-0.1899740970321632,-250.66468310492425,14271.707275390625,18861.22119140625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
68,12,-0.1308808444373775,-41.81777677530575,13387.395192464193,13447.502797444662,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
69,2,-0.24390835742744954,-250.6696199165634,15150.51318359375,14097.130859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
70,8,-0.16183615507810095,-62.48982805319794,8584.990982055664,21864.163208007812,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
71,9,-55.63356385097281,0.07800829541725326,13944.080376519098,13313.547905815973,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
72,1,-0.14073971629425253,-500.867488529451,14984.31640625,20944.5546875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
73,10,-0.0831420457955421,-50.08289348831346,8993.449377441406,21410.916015625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
74,4,-0.05237161833122818,-125.30737434615321,10855.999633789062,13543.276672363281,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
75,3,-0.08623141903634791,-167.29758428671235,15484.896158854166,15223.632446289062,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
76,1,-0.1480514656976418,-501.04295691146734,7265.068359375,25127.599609375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
77,5,-0.09466606632749548,-100.25571936245727,12886.58837890625,20085.1458984375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
78,3,-0.03607378620985374,-167.10253230170065,16226.698852539062,20316.701822916668,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
79,4,-0.08118859537883799,-125.91014699328412,8948.821166992188,22078.81201171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
80,5,-0.13702178820927674,-100.7947169872027,11291.82713623047,14310.372265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
81,6,-0.07827518708239704,-83.50931386924618,11607.301971435547,19474.663411458332,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
82,4,124.97538999834119,-250.28866726528975,8590.099853515625,15765.7470703125,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
83,4,-0.09046379823653748,-125.17822726590218,11886.515350341797,20443.595947265625,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
84,8,-62.704334302622186,-62.533845119648895,8446.80559539795,20844.158889770508,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
85,11,-0.06187627989418163,-45.48617219878169,17188.74727006392,17165.160910866478,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
86,7,-0.13558547628738996,-71.4526385497256,12891.473371233258,18146.9130859375,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
87,13,-0.09200462443446239,-38.48506605914416,13318.575138972355,24327.66639122596,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
88,10,-0.10248344939918352,-50.00028994250312,10791.263488769531,23434.4091796875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
89,4,-0.16137234265169373,-125.32379465711422,11638.313720703125,17053.9091796875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
90,15,33.253444397861784,-66.65720019774088,12039.743774414062,16853.426155598958,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
91,7,-0.1086853369903014,-71.48646682225646,13181.899135044643,21755.92919921875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
92,2,-250.17974938544123,0.17974938544120422,6600.726318359375,23979.6298828125,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
93,6,-0.05691072927075171,-83.6101159965207,8990.873962402344,21876.81201171875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
94,1,-0.1865768758705967,-500.8876457130095,18969.1484375,1918.61279296875,0.0,0.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
