episode,steps,reward_0,reward_1,loss_0,loss_1,eps_greedy_0,eps_greedy_1,collisions_0,collisions_1
33,9,-6.2629925799681,0.0,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
34,28,-1.925415572250629,0.0,-0.03571428571428571,-0.03571428571428571,0.5,0.5,28.0,28.0
35,14,-3.818017545606789,0.0,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
36,24,0.0,-2.159799918918949,-0.041666666666666664,-0.041666666666666664,0.5,0.5,24.0,24.0
37,9,0.0,-5.751654988009477,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
38,2,-25.988315281339858,0.0,-0.5,-0.5,0.5,0.5,2.0,2.0
39,4,-13.156960956207632,0.0,-0.25,-0.25,0.5,0.5,4.0,4.0
40,1,0.0,-51.019022213058314,-1.0,-1.0,0.5,0.5,1.0,1.0
41,15,-3.7501906101540308,0.0,-0.06666666666666667,-0.06666666666666667,0.5,0.5,15.0,15.0
42,49,0.0,-1.0531207481410014,-0.02040816326530612,-0.02040816326530612,0.5,0.5,49.0,49.0
43,14,-3.788255647661238,0.0,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
44,9,-5.717040768369251,0.0,-0.1111111111111111,-0.1111111111111111,0.5,0.5,9.0,9.0
45,21,0.0,-2.45299623417296,-0.047619047619047616,-0.047619047619047616,0.5,0.5,21.0,21.0
46,14,0.0,-3.6473766433829593,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
47,28,-2.1035539728813526,0.0,-0.03571428571428571,-0.03571428571428571,0.5,0.5,28.0,28.0
48,7,0.0,-7.388150562424795,-0.14285714285714285,-0.14285714285714285,0.5,0.5,7.0,7.0
49,15,0.0,-3.4698376054475353,-0.06666666666666667,-0.06666666666666667,0.5,0.5,15.0,15.0
50,6,0.0,-9.010943412867109,-0.16666666666666666,-0.16666666666666666,0.5,0.5,6.0,6.0
51,14,-3.7345485679318697,-3.7928583116169485,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
52,14,-3.7693841984366934,0.0,-0.07142857142857142,-0.07142857142857142,0.5,0.5,14.0,14.0
53,3,-17.294908698892428,0.0,-0.3333333333333333,-0.3333333333333333,0.5,0.5,3.0,3.0
54,6,-8.762904962043566,0.0,-0.16666666666666666,-0.16666666666666666,0.5,0.5,6.0,6.0
55,16,0.0,-3.2124427658668937,-0.0625,-0.0625,0.5,0.5,16.0,16.0
56,15,-0.03832862534628038,-3.433447034718998,-0.06666666666666667,-0.06666666666666667,0.5,0.5,15.0,15.0
57,6,-8.947195226175376,0.0,-0.16666666666666666,-0.16666666666666666,0.5,0.5,6.0,6.0
58,10,-5.390119416830741,-0.051432126028649106,-0.1,-0.1,0.5,0.5,10.0,10.0
59,16,-3.2749203040868595,0.0,-0.0625,-0.0625,0.5,0.5,16.0,16.0
