episode,steps,reward_0,reward_1,loss_0,loss_1,collisions_0,collisions_1,ou_theta_0,ou_theta_1,ou_mu_0,ou_mu_1,ou_sigma_0,ou_sigma_1,ou_dt_0,ou_dt_1,ou_x0_0,ou_x0_1
43,3,0.0,-167.17991928615473,-0.3333333333333333,-0.3333333333333333,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
44,11,-45.553362459799125,0.0,-0.09090909090909091,-0.09090909090909091,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
45,7,0.0,-71.62561401359038,-0.14285714285714285,-0.14285714285714285,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
46,9,-0.024132158881967996,-55.69118103387055,13064.282661017445,13941.236490885416,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
47,11,-45.568399965590714,-0.05889611295031405,17068.671475497158,22774.445667613636,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
48,7,-71.66376765564208,0.0,17852.349748883928,18954.24848973751,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
49,15,-33.43385809150071,-33.46935889325483,18679.774056084952,20736.700032552082,15.0,15.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
50,2,0.0,-250.67775658429022,7741.751392364502,19349.314453125,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
51,5,0.0,-100.25296346105557,17019.695703125,10822.0775390625,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
52,5,-100.2913507976249,-0.11656353928384733,15421.5791015625,24599.71552734375,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
53,10,0.0,-50.239286193812426,17669.428536987303,22097.58388118744,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
54,7,-71.59779154667956,0.0,15255.61386707851,26902.679396493095,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
55,2,-251.03807393810212,0.0,43.50613784790039,14954.52294921875,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
56,9,-55.72596820807833,0.0,13461.580133650037,14916.627697414822,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
57,2,-250.7387264727514,0.0,3806.150405883789,11144.527786254883,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
58,8,-63.3988863410278,0.0,18654.057558059692,19394.362615585327,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
59,8,-62.78053548507512,-0.08165612863484537,20334.77325439453,17115.03924560547,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
60,4,0.0,-125.46520004588254,10973.6005859375,12845.254150390625,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
61,6,0.0,-84.017058318753,11017.530517578125,10783.982711791992,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
62,6,0.0,-83.6047589326815,14447.086552937826,22585.82745361328,6.0,6.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
63,3,0.0,-167.26243142553741,14249.180826822916,9723.990804036459,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
64,4,-125.25623570534083,0.0,15807.12646484375,17645.071990966797,4.0,4.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
65,3,-0.15830821860355115,-167.23015177868237,18771.360188802082,20429.885416666668,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
66,3,-167.3125177205426,0.0,23388.177083333332,21019.2529296875,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
67,10,-50.220236623435106,-0.07262896638792038,14109.83153076172,18397.591796875,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
68,8,-0.01042328641660678,-62.785388911668754,17728.509643554688,13917.404571533203,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
69,10,-0.061182189392857245,-50.10454286432218,18290.675024414064,17777.841162109376,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
70,5,0.0,-100.38473121355622,19018.987353515626,10784.42919921875,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
71,8,-62.67390978526703,0.0,16062.438415527344,15057.213745117188,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
72,5,0.0,-100.2706003401141,26909.436328125,22519.14912109375,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
73,7,0.0,-71.66324911522321,18611.781389508928,21194.816964285714,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
74,1,0.0,-501.0841419105695,25474.341796875,21404.4921875,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
75,9,-0.1085526914791758,-55.67694986256185,16809.011121961805,20579.662651909723,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
76,3,-167.14035840184593,0.0,14799.936848958334,29457.988932291668,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
77,2,-0.01358353157866421,-251.02722579644254,25491.9365234375,14507.8369140625,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
78,7,-72.09424655567,0.0,12082.543178013393,20811.718331473214,7.0,7.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
79,1,-501.0684496277905,0.0,18047.755859375,24967.125,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
80,15,-33.47196327857521,-33.40152484644594,17356.864982096355,21022.290755208334,15.0,15.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
81,9,-55.690446785218874,0.0,18290.791937934027,18934.408311631945,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
82,1,-501.0331952537638,0.0,14646.91015625,19946.271484375,1.0,1.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
83,5,-100.38284539933579,0.0,18589.6431640625,15485.42529296875,5.0,5.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
84,2,-0.3663581009002631,-250.89597845309564,15267.1123046875,11333.746337890625,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
85,9,0.0,-55.744497874728786,17092.45290798611,21226.44118923611,9.0,9.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
86,3,-167.50024330102283,0.0,15908.644205729166,17486.263671875,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
87,3,-167.444382222842,-167.017402771574,19617.769856770832,16007.752278645834,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
88,11,-45.58421728564917,-0.04478195867731783,15486.009920987215,17326.923117897728,11.0,11.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
89,2,-250.9947286595059,0.0,18856.626953125,29717.267578125,2.0,2.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
90,3,0.0,-167.0984236169825,16981.038411458332,25887.3271484375,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
91,3,-0.11948822217424844,-167.11935094215553,17782.353515625,5397.434163411458,3.0,3.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
92,8,-62.625464249999105,0.0,16434.83184814453,25577.400512695312,8.0,8.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
93,10,-50.21058926670114,0.0,13034.14510498047,18290.7357421875,10.0,10.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
94,16,-31.409048247008144,0.0,14566.25016784668,15107.286865234375,16.0,16.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
95,13,0.0,-38.576280323894004,19360.9765625,18093.77971003606,13.0,13.0,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.01,0.01,,
