episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
29,6,-0.12869335658619727,0.08725722634565868,-83.45910446372433,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
30,8,49.98558434128751,-49.98558434128751,-62.62153352029826,-0.125,-0.125,-0.125,4.0,4.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
31,11,-0.05658551742181645,0.0022683282190865063,-45.42659168706981,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
32,6,-0.030498507281596404,-83.61183572874653,0.13680793011207218,51.61352030436198,1361.08935546875,1305.731689453125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
33,1,-0.046545667123005924,-501.0044313538585,0.09037016272197515,7825.55908203125,15698.4375,0.040292490273714066,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
34,8,-0.0829975497913929,-62.63118493402726,0.08528624596740585,3205.9419597759843,16857.449951171875,2037.6495818281546,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
35,11,-0.06050492536516541,-45.47656631948864,0.06050492536516541,3012.853017398241,16458.34520297701,2931.8928913230247,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
36,4,-0.13895900006807588,-125.28491028309982,-0.046745699982173705,4296.406105041504,13997.538314819336,5950.772323608398,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
37,4,-0.06954608220499851,-125.35341506998101,0.06392488669853316,7969.0466384887695,9851.7275390625,3990.286313906312,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
38,2,-0.07787272128260807,0.0015065759275484786,-251.04973886606157,3905.5084176906385,11733.2041015625,0.30357831716537476,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
